,title,signed_on,url,summary,categories,tags
36,"Executive Order No. 145, s. 2021","August 3, 2021",https://www.officialgazette.gov.ph/2021/08/03/executive-order-no-145-s-2021/,"REINFORCING THE POLICY ON THE GRANT OF CAREER EXECUTIVE SERVICE OFFICER RANK TO GRADUATES OF THE NATIONAL DEFENSE COLLEGE OF THE PHILIPPINES, FURTHER AMENDING EXECUTIVE ORDER NO. 696 (s. 1981), AS AMENDED, FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
37,"Executive Order No. 144, s. 2021","July 6, 2021",https://www.officialgazette.gov.ph/2021/07/06/executive-order-no-144-s-2021/,INSTITUTIONALIZING THE FINANCIAL STABILITY COORDINATION COUNCIL,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
38,"Executive Order No. 143, s. 2021","July 2, 2021",https://www.officialgazette.gov.ph/2021/07/02/executive-order-no-143-s-2021/,"CREATING THE ENERGY VIRTUAL ONE-STOP SHOP TASK GROUP, PROVIDING ITS FUNCTIONS, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
39,"Executive Order No. 142, s. 2021","June 25, 2021",https://www.officialgazette.gov.ph/2021/06/25/executive-order-no-142-s-2021/,"APPROVING THE MERGER OF THE LAND BANK OF THE PHILIPPINES (LBP) AND THE UNITED COCONUT PLANTERS BANK (UCPB), AND THE ACQUISITION BY THE LBP OF THE SPECIAL PREFERRED SHARES OF THE PHILIPPINE DEPOSIT INSURANCE CORPORATION (PDIC) IN THE UCPB","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
40,"Executive Order No. 141, s. 2021","June 25, 2021",https://www.officialgazette.gov.ph/2021/06/25/executive-order-no-141-s-2021/,"ADOPTING AS A NATIONAL PRIORITY THE IMPLEMENTATION OF MEASURES TO ADDRESS THE ROOT CAUSES OF THE RISING NUMBER OF TEENAGE PREGNANCIES, AND MOBILIZING GOVERNMENT AGENCIES FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
41,"Executive Order No. 140, s. 2021","June 25, 2021",https://www.officialgazette.gov.ph/2021/06/25/executive-order-no-140-s-2021/,ADOPTING THE NATIONAL EMPLOYMENT RECOVERY STRATEGY (NERS) 2021-2022 AND REINFORCING JOB-GENERATING PROGRAMS THROUGH THE NERS TASK FORCE,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
42,"Executive Order No. 139, s. 2021","June 1, 2021",https://www.officialgazette.gov.ph/2021/06/01/executive-order-no-139-s-2021/,"AUTHORIZING PAYMENT OF DEATH AND BURIAL BENEFITS TO INDIGENOUS PEOPLES MANDATORY REPRESENTATIVES IN BARANGAYS, AMENDING EXECUTIVE ORDER NO. 115 (S. 2002) FOR THE PURPOSE ","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
43,"Executive Order No. 138, s. 2021","June 1, 2021",https://www.officialgazette.gov.ph/2021/06/01/executive-order-no-138-s-2021/,"FULL DEVOLUTION OF CERTAIN FUNCTIONS OF THE EXECUTIVE BRANCH TO LOCAL GOVERNMENTS, CREATION OF A COMMITTEE ON DEVOLUTION, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
44,"Executive Order No. 137, s. 2021","May 24, 2021",https://www.officialgazette.gov.ph/2021/05/24/executive-order-no-137-s-2021/,ACCELERATING AND HARMONIZING AID AND HUMANITARIAN OPERATIONS OF THE NATIONAL GOVERNMENT DURING DISASTERS AND EMERGENCIES,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
45,"Executive Order No. 136, s. 2021","May 18, 2021",https://www.officialgazette.gov.ph/2021/05/18/executive-order-no-136-s-2021/,CREATING THE PHILIPPINE TRADE FACILITATION COMMITTEE IN COMPLIANCE WITH THE WORLD TRADE ORGANIZATION – TRADE FACILITATION AGREEMENT,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
46,"Executive Order No. 135, s. 2021","May 15, 2021",https://www.officialgazette.gov.ph/2021/05/15/executive-order-no-135-s-2021/,"TEMPORARILY MODIFYING THE RATES OF IMPORT DUTY ON RICE UNDER SECTION 1611 OF REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE “CUSTOMS MODERNIZATION AND TARIFF ACT”","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
47,"Executive Order No. 134, s. 2021","May 15, 2021",https://www.officialgazette.gov.ph/2021/05/15/executive-order-no-134-s-2021/,"FURTHER MODIFYING THE RATES OF IMPORT DUTY ON FRESH, CHILLED OR FROZEN MEAT OF SWINE UNDER SECTION 1611 OF REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE “CUSTOMS MODERNIZATION AND TARIFF ACT,” REPEALING EXECUTIVE ORDER NO. 128 (S. 2021) FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
48,"Executive Order No. 133, s. 2021","May 10, 2021",https://www.officialgazette.gov.ph/2021/05/10/executive-order-no-133-s-2021/,"INCREASING THE MINIMUM ACCESS VOLUME FOR PORK MEAT UNDER REPUBLIC ACT NO. 8178 OR THE “AGRICULTURAL TARIFFICATION ACT,” AS AMENDED","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
49,"Executive Order No. 132, s. 2021","April 28, 2021",https://www.officialgazette.gov.ph/2021/04/28/executive-order-no-132-s-2021/,ADJUSTING THE DIVIDEND RATE OF THE LAND BANK OF THE PHILIPPINES PURSUANT TO SECTION 5 OF REPUBLIC ACT NO. 7656,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
50,"Executive Order No. 131, s. 2021","April 28, 2021",https://www.officialgazette.gov.ph/2021/04/28/executive-order-no-131-s-2021/,ADJUSTING THE DIVIDEND RATE OF THE HOME GUARANTY CORPORATION PURSUANT TO SECTION 5 OF REPUBLIC ACT NO. 7656,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
51,"Executive Order No. 130, s. 2021","April 14, 2021",https://www.officialgazette.gov.ph/2021/04/14/executive-order-no-130-s-2021/,"AMENDING SECTION 4 OF EXECUTIVE ORDER NO. 79, S. 2012, INSTITUTIONALIZING AND IMPLEMENTING REFORMS IN THE PHILIPPINE MINING SECTOR, PROVIDING POLICIES AND GUIDELINES TO ENSURE ENVIRONMENTAL PROTECTION AND RESPONSIBLE MINING IN THE UTILIZATION OF MINERAL RESOURCES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
52,"Executive Order No. 129, s. 2021","April 13, 2021",https://www.officialgazette.gov.ph/2021/04/13/executive-order-no-129-s-2021/,"CREATING THE OFFICE OF THE PRESIDENTIAL ADVISER ON STREAMLINING OF GOVERNMENT PROCESSES, PROVIDING ITS FUNCTIONS, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
53,"Executive Order No. 128, s. 2021","April 7, 2021",https://www.officialgazette.gov.ph/2021/04/07/executive-order-no-128-s-2021/,"TEMPORARILY MODIFYING THE RATES OF IMPORT DUTY ON FRESH, CHILLED OR FROZEN MEAT OF SWINE UNDER SECTION 1611 OF REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE “CUSTOMS MODERNIZATION AND TARIFF ACT”","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
54,"Executive Order No. 127, s. 2021","March 10, 2021",https://www.officialgazette.gov.ph/2021/03/10/executive-order-no-127-s-2021/,"EXPANDING THE PROVISION OF INTERNET SERVICES THROUGH INCLUSIVE ACCESS TO SATELLITE SERVICES, AMENDING EXECUTIVE ORDER NO. 467 (S. 1998) FOR THE PURPOSE","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
55,"Executive Order No. 126, s. 2021","March 4, 2021",https://www.officialgazette.gov.ph/2021/03/04/executive-order-no-126-s-2021/,REDUCTION AND CONDONATION OF REAL PROPERTY TAXES AND INTEREST/PENALTIES ASSESSED ON THE POWER GENERATION FACILITIES OF INDEPENDENT POWER PRODUCERS UNDER BUILD OPERATE-TRANSFER CONTRACTS WITH GOVERNMENT-OWNED OR -CONTROLLED CORPORATIONS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
56,"Executive Order No. 125, s. 2021","February 5, 2021",https://www.officialgazette.gov.ph/2021/02/05/executive-order-no-125-s-2021/,CREATION OF THE NATIONAL AMNESTY COMMISSION,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
57,"Executive Order No. 124, s. 2021","February 1, 2021",https://www.officialgazette.gov.ph/2021/02/01/executive-order-no-124-s-2021/,IMPOSITION OF MANDATED PRICE CEILING ON SELECTED PORK AND CHICKEN PRODUCTS IN THE NATIONAL CAPITAL REGION,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
58,"Executive Order No. 123, s. 2021","January 15, 2021",https://www.officialgazette.gov.ph/2021/01/15/executive-order-no-123-s-2021/,"MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 123 MODIFYING THE RATES OF IMPORT DUTY ON CERTAIN AGRICULTURAL PRODUCTS UNDER SECTION 1611 OF THE REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE CUSTOMS MODERNIZATION AND TARIFF ACT","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
59,"Executive Order No. 122, s. 2020","December 15, 2020",https://www.officialgazette.gov.ph/2020/12/15/executive-order-no-122-s-2020/,STRENGTHENING BORDER CONTROL THROUGH THE ADOPTION AND IMPLEMENTATION OF THE ADVANCE PASSENGER INFORMATION SYSTEM,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
60,"Executive Order No. 121, s. 2020","December 1, 2020",https://www.officialgazette.gov.ph/2020/12/01/executive-order-no-121-s-2020/,"GRANTING AUTHORITY TO THE DIRECTOR GENERAL OF THE FOOD AND DRUG ADMINISTRATION TO ISSUE EMERGENCY USE AUTHORIZATION FOR COVID-19 DRUGS AND VACCINES, PRESCRIBING CONDITIONS THEREFOR, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
61,"Executive Order No. 120, s. 2020","November 18, 2020",https://www.officialgazette.gov.ph/2020/11/18/executive-order-no-120-s-2020/,STRENGTHENING REHABILITATION AND RECOVERY EFFORTS IN TYPHOON-HIT AREAS THROUGH THE CREATION OF THE BUILD BACK BETTER TASK FORCE,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
62,"Executive Order No. 119, s. 2020","November 17, 2020",https://www.officialgazette.gov.ph/2020/11/17/executive-order-no-119-s-2020/,"ESTABLISHING A NATIONAL GOVERNMENT ADMINISTRATIVE CENTER IN NEW CLARK CITY, CAPAS, TARLAC, PROVIDING FOR AN INTEGRATED GOVERNMENT CENTER OUTSIDE THE NATIONAL CAPITAL REGION IN CASE OF DISASTER, AND DIRECTING THE WHOLE-OF-GOVERNMENT TO ESTABLISH SATELLITE OFFICES THEREIN","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
63,"Executive Order No. 118, s. 2020","November 4, 2020",https://www.officialgazette.gov.ph/2020/11/04/executive-order-no-118-s-2020/,"DIRECTING THE DEPARTMENT OF HEALTH, IN COORDINATION WITH THE DEPARTMENT OF TRADE AND INDUSTRY, TO ENSURE ACCESSIBILITY AND AFFORDABILITY OF COVID-19 TESTS AND TEST KITS","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
64,"Executive Order No. 117, s. 2020","July 24, 2020",https://www.officialgazette.gov.ph/2020/07/24/executive-order-no-117-s-2020/,REDUCTION AND CONDONATION OF REAL PROPERTY TAXES AND INTEREST/PENALTIES ASSESSED ON THE POWER GENERATION FACILITIES OF INDEPENDENT POWER PRODUCERS UNDER BUILD-OPERATE-TRANSFER CONTRACTS WITH GOVERNMENT-OWNED OR -CONTROLLED CORPORATIONS,"['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
65,"Executive Order No. 116, s. 2020","July 24, 2020",https://www.officialgazette.gov.ph/2020/07/24/executive-order-no-116-s-2020/,"DIRECTING A STUDY FOR THE ADOPTION OF A NATIONAL POSITION ON A NUCLEAR ENERGY PROGRAM, CONSTITUTING A NUCLEAR ENERGY PROGRAM INTER-AGENCY COMMITTEE, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
66,"Implementing Rules and Regulations of Executive Order No. 114, s. 2020","June 4, 2020",https://www.officialgazette.gov.ph/2020/06/04/implementing-rules-and-regulations-of-executive-order-no-114-s-2020/,"Implementing Guidelines of Executive Order No. 114: Institutionalizing the Balik Probinsya, Bagong Pag-asa Program as a Pillar of Balanced Regional Development, Creating a Council Therefore, and for Other Purposes","['Executive Issuances', 'Executive Orders', 'Implementing Rules and Regulations of Executive Orders']","['Executive Issuances', 'Executive Orders', 'Implementing Rules and Regulations', 'Rodrigo Roa Duterte']"
67,"Executive Order No. 115, s. 2020","May 11, 2020",https://www.officialgazette.gov.ph/2020/05/11/executive-order-no-115-s-2020/,"EXTENDING THE TERM OF THE BORACAY INTER-AGENCY TASK FORCE, AMENDING FOR THE PURPOSE EXECUTIVE ORDER NO. 53 (S. 2018)","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
68,"Executive Order No. 114, s. 2020","May 6, 2020",https://www.officialgazette.gov.ph/2020/05/06/executive-order-no-114-s-2020/,"INSTITUTIONALIZING THE BALIK PROBINSYA, BAGONG PAG-ASA PROGRAM AS A PILLAR OF BALANCED REGIONAL DEVELOPMENT, CREATING A COUNCIL THEREFOR, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
69,"Executive Order No. 113, s. 2020","May 2, 2020",https://www.officialgazette.gov.ph/2020/05/02/executive-order-no-113-s-2020/,"MALACAÑAN PALACE MANILA BY THE PRESIDENT OF THE PHILIPPINES EXECUTIVE ORDER NO. 113 TEMPORARILY MODIFYING THE RATES OF IMPORT DUTY ON CRUDE PETROLEUM OIL AND REFINED PETROLEUM PRODUCTS UNDER SECTION 1611 OF REPUBLIC ACT NO. 10863, OTHERWISE KNOWN AS THE “CUSTOMS MODERNIZATION AND TARIFF ACT”","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
70,"Executive Order No. 112, s. 2020","April 30, 2020",https://www.officialgazette.gov.ph/2020/04/30/executive-order-no-112-s-2020/,"IMPOSING AN ENHANCED COMMUNITY QUARANTINE IN HIGH RISK GEOGRAPHIC AREAS OF THE PHILIPPINES AND A GENERAL COMMUNITY QUARANTINE IN THE REST OF THE COUNTRY FROM 01 TO 15 MAY 2020, ADOPTING THE OMNIBUS GUIDELINES ON THE IMPLEMENTATION THEREOF, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
71,"Executive Order No. 111, s. 2020","April 27, 2020",https://www.officialgazette.gov.ph/2020/04/27/executive-order-no-111-s-2020/,"RECONSTITUTING THE OFFICE OF THE PRESIDENTIAL SPOKESPERSON, ABOLISHING THE PRESIDENTIAL COMMUNICATIONS DEVELOPMENT AND STRATEGIC PLANNING OFFICE, AND FOR OTHER PURPOSES","['Executive Issuances', 'Executive Orders', 'Laws and Issuances']","['Executive Issuances', 'Executive Orders', 'Rodrigo Roa Duterte']"
